A=3415 B=6068 C=7056 X=224660391 Y=9266691507 Z=51386989514 M=7303
A=3393 B=8181 C=8655 X=346627550 Y=4453951823 Z=53021256774 M=6655
A=2276 B=7145 C=6250 X=391778824 Y=8516318458 Z=64430483200 M=5260
A=6700 B=9060 C=7566 X=318033296 Y=3893095796 Z=17057108645 M=2972
A=7372 B=4538 C=7503 X=325435976 Y=1765381329 Z=20160786229 M=8905
A=3853 B=5906 C=5069 X=928472601 Y=8078700027 Z=11658614952 M=1434
A=5920 B=7706 C=9569 X=862656929 Y=1067204099 Z=95663662246 M=7948
A=2645 B=7580 C=9558 X=960151084 Y=2495044206 Z=35004595319 M=3252
A=9428 B=4159 C=8725 X=204445850 Y=3289771299 Z=38917706021 M=5638
A=5728 B=8027 C=5558 X=903813047 Y=9491702807 Z=18907453499 M=8958
A=3498 B=8103 C=5015 X=612882257 Y=2547401152 Z=51691369643 M=5682
A=4401 B=7207 C=6260 X=487245779 Y=3254861909 Z=33601088725 M=4197
A=9472 B=4892 C=7817 X=794295493 Y=3641684040 Z=53493306814 M=8848
A=2925 B=9874 C=7728 X=980607189 Y=8075513326 Z=60054279007 M=7277
A=8301 B=5852 C=5861 X=335649436 Y=4175302647 Z=98429468269 M=8593
A=2887 B=5896 C=8397 X=291352682 Y=9246152437 Z=37751689246 M=7147
A=8180 B=3619 C=9915 X=430819326 Y=1326925492 Z=24899511924 M=4912
A=5734 B=8862 C=6330 X=785280700 Y=3925172684 Z=37774893002 M=1198
A=5618 B=7127 C=8176 X=396113354 Y=6357909204 Z=78965552283 M=9265
A=8984 B=5963 C=8510 X=122403086 Y=3833731882 Z=22573643940 M=4034
A=4923 B=8273 C=5971 X=803798694 Y=8593500349 Z=81992225063 M=7058
A=9988 B=5014 C=5218 X=651263672 Y=7629754652 Z=56540133412 M=4655
A=2715 B=7240 C=6993 X=229227836 Y=7517885581 Z=72807046866 M=7645
A=4396 B=4312 C=8541 X=888598091 Y=2924105850 Z=56184742301 M=2784
