60749,60126,1551
71572,70996,1159
71572,72957,676
71572,75568,554
154744,153940,1390
154744,158063,595
175676,132032,1910
175676,177662,862
218198,175019,1351
218198,178411,649
262728,129793,1558
262728,221811,835
262728,222918,956
319938,186746,1639
375805,242631,1871
375805,245442,674
375805,247408,1580
425291,192418,1242
425291,296199,1047
477703,140146,1435
477703,247498,723
533678,83793,1551
533678,199533,1419
609016,159435,1475
609016,161188,723
609016,163858,1463
658790,109142,1093
740594,190551,1719
740594,193002,709
740594,194785,570
830697,280869,1480
830697,283836,1632
849981,300279,1200
849981,302026,994
875882,273634,1708
875882,330358,544
937443,211842,1881
937443,337681,998
937443,339093,1311
1036916,311443,1521
1091162,365948,1273
1091162,367570,638
1091162,368867,661
1177355,279137,1474
1177355,456387,1818
1269053,370876,1123
1269053,373099,985
1342815,444619,1387
1342815,448866,539
1407139,508953,1567
1407139,510905,592
1407139,512892,626
1469341,445876,1577
1550867,364316,1549
1550867,530025,538
1550867,531964,1576
1589985,403512,1574
1589985,407095,1487
1617258,430935,1472
1617258,433516,883
1713829,527489,1236
1713829,531417,1960
1761064,479427,1544
1761064,577124,945
1761064,578846,819
1814419,532636,1790
1854934,573395,1573
1854934,575793,838
1854934,577940,1243
1884383,602964,1564
1884383,607170,1214
1943385,543071,1738
1943385,664204,746
2030931,630587,1906
2030931,635385,554
2067726,667409,1513
2067726,670209,687
2067726,671876,1982
2129987,729688,1552
2223297,635547,1702
2223297,825834,948
2223297,827535,987
2308886,549817,1475
2308886,725366,747
2373920,615036,1442
2373920,616976,858
2412100,653096,1509
2412100,656275,1006
2491926,732896,1484
2491926,735613,591
2491926,736921,1386
2538431,685734,1551
2598341,625797,1279
2598341,748002,759
2598341,749979,907
2635792,588464,1557
2635792,667046,1410
2665770,618201,1772
2665770,620827,842
2757963,525182,1563
2757963,714537,809
2807137,574303,1869
2807137,576190,507
2807137,578727,1201
2832010,599112,1586
2895809,663251,1407
2895809,665359,903
2895809,666284,976
2913630,644859,1273
2913630,685141,798
2947101,678194,1546
2947101,680852,824
3044973,775859,1863
3044973,779418,1910
3097006,828271,1219
3097006,830176,827
3097006,832720,618
3147785,776820,1581
3217964,847099,1106
3217964,849630,788
3217964,850019,1352
3277861,786489,1419
3277861,910739,510
3310682,753418,1490
3310682,821716,508
3404609,847724,1234
3404609,851443,860
3445081,806334,1762
