18,1,13
36,1,16
36,33,3
61,1,12
90,1,9
90,47,9
101,1,17
117,8,12
117,36,9
130,1,19
151,12,15
151,34,9
161,1,8
173,10,14
173,35,4
202,34,19
219,54,12
219,81,5
244,23,14
263,40,11
263,63,6
276,23,8
294,42,13
294,74,8
304,47,17
326,74,7
326,95,4
341,56,13
369,83,9
369,105,8
390,100,15
400,114,13
400,131,7
416,96,10
431,110,7
431,126,9
455,134,11
482,158,9
482,191,4
502,134,7
522,155,11
522,179,4
536,135,11
563,106,11
563,186,5
574,123,5
584,126,16
584,151,3
607,150,18
636,115,16
636,216,9
656,133,16
684,103,5
684,191,5
710,122,17
739,88,8
739,174,7
755,104,10
783,135,11
783,161,6
804,153,12
831,117,12
831,205,3
842,129,15
864,101,12
864,178,7
885,78,18
912,56,10
912,136,6
928,70,11
955,97,12
955,115,5
984,61,12
1011,36,13
1011,119,9
1023,49,14
1035,62,8
1035,76,6
1060,84,12
1075,63,11
1075,125,3
1088,73,12
1115,40,13
1115,133,8
1126,26,13
1147,53,8
1147,66,5
1162,32,14
1189,61,14
1189,76,6
1208,75,14
1231,44,15
1231,119,5
1249,61,18
1263,82,6
1263,111,5
1285,102,14
1297,88,7
1297,141,7
1308,1,112
